time,BRs,AirUsage,BTs,HRs,Gs,Fs,Ps,Forces,Intensity_1,Intensity_2,Intensity_3,Intensity_4,Intensity_5,subject,time_diff,nozzle_open,nozzle_pattern_coeff,attack_flag,water_usage,cumulative_water_usage,total_water_usage,cumulative_air_usage,total_air_usage,air_usage_during_fire_attack,cumulative_air_usage_during_fire_attack,total_air_usage_during_fire_attack,fire_intensity,fire_attack_duration
0.0,20,300,34.9199981689453,87,0,570,14,0,10.2347002029419,10.2347002029419,0.234894096851349,0.234894096851349,0.234894096851349,subject_1,0.0,0,0.8318122278318338,0,0.0,0.0,62597,300,23865,0,0,14409,20.939188599586497,149
5.5296768,19,307,34.9300003051758,88,0,570,14,0,11.2399797439575,11.2400398254395,1.24048602581024,1.24045503139496,1.24038898944855,subject_1,5.5,0,0.8318122278318338,0,0.0,0.0,62597,607,23865,0,0,14409,24.9609606266022,149
7.0585344,20,300,34.939998626709,88,0,570,14,0,12.1896896362305,12.1900901794434,2.19033408164978,2.19046401977539,2.1900520324707,subject_1,1.5,0,0.8318122278318338,0,0.0,0.0,62597,907,23865,0,0,14409,28.76057791709907,149
8.3403136,21,285,34.9300003051758,89,0,570,14,0,13.3115997314453,13.3125200271606,3.31239700317383,3.31301808357239,3.31188011169434,subject_1,1.3,0,0.8318122278318338,0,0.0,0.0,62597,1192,23865,0,0,14409,33.249534845352116,149
11.3805952,21,285,34.9599990844727,90,0,570,13,0,16.0525093078613,16.0545101165771,6.05365419387817,6.05481481552124,6.05251407623291,subject_1,3.0,0,0.8429895373265012,0,0.0,0.0,62597,1477,23865,0,0,14409,44.215488433837805,149
15.2987136,21,279,34.9799995422363,92,0,570,14,0,21.2700500488281,21.2740898132324,11.2717895507813,11.273889541626,11.2693700790405,subject_1,3.9,0,0.8318122278318338,0,0.0,0.0,62597,1756,23865,0,0,14409,65.0898189544678,149
17.3126784,21,279,34.9700012207031,92,0,570,13,0,24.674430847168,24.6799297332764,14.6769504547119,14.6793403625488,14.6733503341675,subject_1,2.0,0,0.8429895373265012,0,0.0,0.0,62597,2035,23865,0,0,14409,78.7106513977051,149
20.0740992,22,272,35.0,93,0,570,13,0,29.8033294677734,29.8110504150391,19.806999206543,19.8098297119141,19.8016490936279,subject_1,2.8,0,0.8429895373265012,0,0.0,0.0,62597,2307,23865,0,0,14409,99.2312088012696,149
22.5895552,22,266,35.0099983215332,93,0,570,14,0,36.6889991760254,36.6997108459473,26.6941204071045,26.6975898742676,26.6864204406738,subject_1,2.5,0,0.8318122278318338,0,0.0,0.0,62597,2573,23865,0,0,14409,126.78042030334481,149
22.9543552,22,266,35.0099983215332,93,0,570,13,0,38.092399597168,38.1036415100098,28.0976295471191,28.10133934021,28.0895805358887,subject_1,0.4,0,0.8429895373265012,0,0.0,0.0,62597,2839,23865,0,0,14409,132.3950099945069,149
25.0918144,22,266,35.0200004577637,93,0,570,14,0,47.0687103271484,47.0834693908691,37.0746612548828,37.0798988342285,37.0642890930176,subject_1,2.1,0,0.8318122278318338,0,0.0,0.0,62597,3105,23865,0,0,14409,168.3067398071288,149
26.1000064,22,266,35.060001373291,93,0,570,13,0,51.2610397338867,51.2776298522949,41.2674789428711,41.2734794616699,41.2562789916992,subject_1,1.0,0,0.8429895373265012,0,0.0,0.0,62597,3371,23865,0,0,14409,185.0796279907226,149
28.2656512,22,272,35.1199989318848,92,0,570,13,0,61.5975303649902,61.6181297302246,51.6047706604004,51.612548828125,51.5908203125,subject_1,2.2,0,0.8429895373265012,0,0.0,0.0,62597,3643,23865,0,0,14409,226.4329795837402,149
29.2552064,21,279,35.1500015258789,93,0,570,12,0,67.3417129516602,67.3645782470703,57.3493690490723,57.3581504821777,57.3339195251465,subject_1,1.0,0,0.8543436937742046,0,0.0,0.0,62597,3922,23865,0,0,14409,249.4138107299805,149
30.8417536,21,279,35.1800003051758,93,0,570,14,0,80.321907043457,80.1573867797852,70.2343902587891,70.149040222168,70.3116836547852,subject_1,1.6,0,0.8318122278318338,0,0.0,0.0,62597,4201,23865,0,0,14409,300.86272430419933,149
32.587072,21,285,35.2000007629395,92,0,570,13,0,90.5633926391602,90.4880676269531,80.9720001220703,80.8747711181641,81.0596313476563,subject_1,1.7,0,0.8429895373265012,0,0.0,0.0,62597,4486,23865,0,0,14409,342.8982315063477,149
34.8288384,22,266,35.2099990844727,92,0,570,14,0,100.0,100.0,100.0,100.0,100.0,subject_1,2.2,0,0.8318122278318338,0,0.0,0.0,62597,4752,23865,0,0,14409,400.0,149
37.5894144,24,244,35.2000007629395,93,0,570,14,0,100.0,100.0,100.0,100.0,100.0,subject_1,2.8,0,0.8318122278318338,0,0.0,0.0,62597,4996,23865,0,0,14409,400.0,149
41.2022144,26,226,35.2099990844727,95,0,570,14,0,100.0,100.0,100.0,100.0,100.0,subject_1,3.6,0,0.8318122278318338,0,0.0,0.0,62597,5222,23865,0,0,14409,400.0,149
41.858304,28,210,35.2099990844727,95,0,570,14,0,100.0,100.0,100.0,100.0,100.0,subject_1,0.7,0,0.8318122278318338,0,0.0,0.0,62597,5432,23865,0,0,14409,400.0,149
43.3216768,30,200,35.2400016784668,94,0,570,13,0,100.0,100.0,100.0,100.0,100.0,subject_1,1.5,0,0.8429895373265012,0,0.0,0.0,62597,5632,23865,0,0,14409,400.0,149
44.9729024,30,196,35.2599983215332,93,0,570,13,0,100.0,100.0,100.0,100.0,100.0,subject_1,1.7,0,0.8429895373265012,0,0.0,0.0,62597,5828,23865,0,0,14409,400.0,149
48.5716864,30,200,35.1100006103516,92,0,570,14,0,100.0,100.0,100.0,100.0,100.0,subject_1,3.6,0,0.8318122278318338,0,0.0,0.0,62597,6028,23865,0,0,14409,400.0,149
50.0422272,30,200,35.0800018310547,92,0,570,13,0,100.0,100.0,100.0,100.0,100.0,subject_1,1.5,0,0.8429895373265012,0,0.0,0.0,62597,6228,23865,0,0,14409,400.0,149
51.4318208,30,200,35.0900001525879,92,0,570,14,0,100.0,100.0,100.0,100.0,100.0,subject_1,1.4,0,0.8318122278318338,0,0.0,0.0,62597,6428,23865,0,0,14409,400.0,149
58.5311872,30,196,35.1199989318848,96,100,570,14,494,100.0,100.0,100.0,100.0,100.0,subject_1,7.1,1,0.8318122278318338,1,3366.0,3366.0,62597,6624,23865,196,196,14409,400.0,149
63.1889024,30,196,35.1399993896484,100,0,570,13,0,100.0,100.0,100.0,100.0,100.0,subject_1,4.7,0,0.8429895373265012,1,0.0,3366.0,62597,6820,23865,196,392,14409,400.0,149
65.2625408,29,203,35.1500015258789,102,50,570,13,247,100.0,100.0,100.0,100.0,100.0,subject_1,2.1,1,0.8429895373265012,1,1009.0,4375.0,62597,7023,23865,203,595,14409,400.0,149
65.998208,28,214,35.1500015258789,105,0,570,14,0,100.0,100.0,100.0,100.0,100.0,subject_1,0.7,0,0.8318122278318338,1,0.0,4375.0,62597,7237,23865,214,809,14409,400.0,149
67.5091712,26,230,35.1500015258789,106,0,570,13,0,100.0,100.0,100.0,68.7943572998047,100.0,subject_1,1.5,0,0.8429895373265012,1,0.0,4375.0,62597,7467,23865,230,1039,14409,368.7943572998047,149
68.4370176,25,240,35.1399993896484,106,0,570,14,0,100.0,100.0,100.0,25.9328899383545,100.0,subject_1,0.9,0,0.8318122278318338,1,0.0,4375.0,62597,7707,23865,240,1279,14409,325.9328899383545,149
70.4425856,24,250,35.1399993896484,111,0,570,14,0,100.0,100.0,100.0,9.1360912322998,100.0,subject_1,2.0,0,0.8318122278318338,1,0.0,4375.0,62597,7957,23865,250,1529,14409,309.1360912322998,149
72.0099584,23,260,35.1399993896484,114,0,570,14,0,100.0,100.0,100.0,19.3122692108154,100.0,subject_1,1.6,0,0.8318122278318338,1,0.0,4375.0,62597,8217,23865,260,1789,14409,319.31226921081543,149
74.196352,23,260,35.1500015258789,117,0,570,14,0,100.0,92.9012908935547,87.2008666992188,4.32739114761353,100.0,subject_1,2.2,0,0.8318122278318338,1,0.0,4375.0,62597,8477,23865,260,2049,14409,284.429548740387,149
76.89344,23,255,35.1599998474121,119,100,570,13,494,100.0,100.0,97.4185562133789,20.3665599822998,100.0,subject_1,2.7,1,0.8429895373265012,1,1297.0,5672.0,62597,8732,23865,255,2304,14409,317.7851161956787,149
80.2492416,24,244,35.1599998474121,120,100,570,14,494,100.0,100.0,100.0,47.260929107666,99.2625427246094,subject_1,3.4,1,0.8318122278318338,1,1612.0,7284.0,62597,8976,23865,244,2548,14409,347.260929107666,149
